Date Ajout,Lien,Titre,Prix (€),Surface (m²),Prix/m² (€),DPE,Note/Avis,Travaux,Offre,Charges / mois,Exposition
14/01/2026,https://www.leboncoin.fr/ad/ventes_immobilieres/2973399497,Appartement 3 pièces 64 m²,250500.0,64.0,3914,E,,À définir,,,
14/01/2026,https://www.leboncoin.fr/ad/ventes_immobilieres/3076012674,Maison 4 pièces 123 m²,447000.0,123.0,3634,E,,À définir,,,
