Lien,Titre,Localisation,Prix (€),Surface (m²),Terrain (m²),Prix/m² (€),Charges,DPE,Vendeur
https://www.leboncoin.fr/ad/ventes_immobilieres/3079130509,Duplex 3 pièces 37 m²,Vaux-sur-Mer (17640),199500.0,37.0,0.0,5391.89,Non spécifié,E,993e21b9-73b8-405c-b246-15633bd0bc25
https://www.leboncoin.fr/ad/ventes_immobilieres/3033294448,Villa 6 pièces 164 m²,Médis (17600),618000.0,164.0,0.0,3768.29,Non spécifié,C,993e21b9-73b8-405c-b246-15633bd0bc25
